Analysis Desc.,Total Analysed Data (Sentences),Analysis Topic,Side A,Side B,Side C (if exists),Sentiment Score of A,Sentiment Score of B,Percentage of A (After Process),Percentage of B (After Process),Percentage of C (After Process),Total Percentage
Instagram comments sentiment analysis for Ekrem İmamoğlu and Murat Kurum,4000,Ekrem İmamoğlu V Murat Kurum,Ekrem İmamoğlu,Murat Kurum,NULL,0.2276,0.1629,"62,725","37,275",NULL,100
Sentiment Analysis about the Election in General (from Youtube and Ekşi Sözlük),21000,Election Sentiments,Positive Sentiment,Negative Sentiment,NULL,~0.1884,NULL,58.92,41.08,NULL,100
Ekşi Sözlük Election Analysis,4641,Ekşi Sözlük Election Sentiment,AKP,CHP,Other Parties,0.3522,0.3886,36.11,38.54,25.35,100
Ekşi Sözlük AKP Sentiment Analysis (Keyword),1510,Ekşi Sözlük AKP Sentiment,Positive Sentiment,Negative Sentiment,NULL,0.3522,NULL,67.61,32.39,NULL,100
Ekşi Sözlük CHP Sentiment Analysis (Keyword),1623,Ekşi Sözlük CHP Sentiment,Positive Sentiment,Negative Sentiment,NULL,0.3886,NULL,69.43,30.57,NULL,100
Ekşi Sözlük MHP Sentiment Analysis (Keyword),225,Ekşi Sözlük MHP Sentiment,Positive Sentiment,Negative Sentiment,NULL,0.5426,NULL,77.13,22.87,NULL,100
Ekşi Sözlük ZP Sentiment Analysis (Keyword),525,Ekşi Sözlük ZP Sentiment,Positive Sentiment,Negative Sentiment,NULL,0.5345,NULL,"76,875","23,125",NULL,100
Ekşi Sözlük DEM Sentiment Analysis (Keyword),252,Ekşi Sözlük DEM Sentiment,Positive Sentiment,Negative Sentiment,NULL,0.5997,NULL,"79,985","20,015",NULL,100
Ekşi Sözlük YRP Sentiment Analysis (Keyword),506,Ekşi Sözlük YRP Sentiment,Positive Sentiment,Negative Sentiment,NULL,0.5686,NULL,78.43,21.57,NULL,100
